report_stem,config,depth,breadth,rigor,innovation,gap,overall,report_path
17_o3_orkg_d1_b1,d1_b1,0.72,0.92,0.66,0.92,0.73,0.79,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/17_o3_orkg_d1_b1.md
17_o3_orkg_d1_b4,d1_b4,0.63,0.92,0.71,0.87,0.86,0.798,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/17_o3_orkg_d1_b4.md
17_o3_orkg_d4_b1,d4_b1,0.67,0.93,0.68,0.92,0.47,0.734,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/17_o3_orkg_d4_b1.md
17_o3_orkg_d4_b4,d4_b4,0.66,0.92,0.68,0.83,0.87,0.792,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/17_o3_orkg_d4_b4.md
18_o3_orkg_d1_b1,d1_b1,0.92,0.88,0.67,0.93,0.88,0.856,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/18_o3_orkg_d1_b1.md
18_o3_orkg_d1_b4,d1_b4,0.82,0.76,0.73,0.92,0.93,0.832,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/18_o3_orkg_d1_b4.md
18_o3_orkg_d4_b1,d4_b1,0.82,0.88,0.65,0.77,0.93,0.81,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/18_o3_orkg_d4_b1.md
18_o3_orkg_d4_b4,d4_b4,0.67,0.82,0.57,0.92,0.88,0.772,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/18_o3_orkg_d4_b4.md
19_o3_orkg_d1_b1,d1_b1,0.73,0.82,0.82,0.82,0.94,0.826,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/19_o3_orkg_d1_b1.md
19_o3_orkg_d1_b4,d1_b4,0.92,0.82,0.72,0.82,0.93,0.842,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/19_o3_orkg_d1_b4.md
19_o3_orkg_d4_b1,d4_b1,0.72,0.88,0.88,0.86,0.92,0.852,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/19_o3_orkg_d4_b1.md
19_o3_orkg_d4_b4,d4_b4,0.63,0.88,0.67,0.94,0.78,0.78,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/19_o3_orkg_d4_b4.md
1_o3_orkg_d1_b1,d1_b1,0.93,0.84,0.62,0.94,0.92,0.85,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/1_o3_orkg_d1_b1.md
1_o3_orkg_d1_b4,d1_b4,0.92,0.74,0.57,0.92,0.93,0.816,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/1_o3_orkg_d1_b4.md
1_o3_orkg_d4_b1,d4_b1,0.92,0.88,0.74,0.86,0.78,0.836,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/1_o3_orkg_d4_b1.md
1_o3_orkg_d4_b4,d4_b4,0.74,0.83,0.77,0.92,0.88,0.828,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/1_o3_orkg_d4_b4.md
20_o3_orkg_d1_b1,d1_b1,0.62,0.92,0.63,0.72,0.92,0.762,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/20_o3_orkg_d1_b1.md
20_o3_orkg_d1_b4,d1_b4,0.93,0.92,0.62,0.88,0.92,0.854,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/20_o3_orkg_d1_b4.md
20_o3_orkg_d4_b1,d4_b1,0.67,0.86,0.68,0.86,0.88,0.79,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/20_o3_orkg_d4_b1.md
20_o3_orkg_d4_b4,d4_b4,0.68,0.94,0.63,0.87,0.93,0.81,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/20_o3_orkg_d4_b4.md
21_o3_orkg_d1_b1,d1_b1,0.73,0.78,0.58,0.86,0.84,0.758,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/21_o3_orkg_d1_b1.md
21_o3_orkg_d1_b4,d1_b4,0.68,0.84,0.58,0.94,0.92,0.792,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/21_o3_orkg_d1_b4.md
21_o3_orkg_d4_b1,d4_b1,0.83,0.83,0.69,0.92,0.94,0.842,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/21_o3_orkg_d4_b1.md
21_o3_orkg_d4_b4,d4_b4,0.71,0.88,0.93,0.93,0.94,0.878,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/21_o3_orkg_d4_b4.md
22_o3_orkg_d1_b1,d1_b1,0.92,0.93,0.72,0.79,0.82,0.836,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/22_o3_orkg_d1_b1.md
22_o3_orkg_d1_b4,d1_b4,0.72,0.78,0.63,0.91,0.92,0.792,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/22_o3_orkg_d1_b4.md
22_o3_orkg_d4_b1,d4_b1,0.89,0.78,0.58,0.87,0.92,0.808,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/22_o3_orkg_d4_b1.md
22_o3_orkg_d4_b4,d4_b4,0.68,0.87,0.63,0.93,0.92,0.806,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/22_o3_orkg_d4_b4.md
23_o3_orkg_d1_b1,d1_b1,0.72,0.76,0.77,0.93,0.92,0.82,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/23_o3_orkg_d1_b1.md
23_o3_orkg_d1_b4,d1_b4,0.77,0.87,0.83,0.92,0.92,0.862,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/23_o3_orkg_d1_b4.md
23_o3_orkg_d4_b1,d4_b1,0.73,0.72,0.73,0.94,0.92,0.808,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/23_o3_orkg_d4_b1.md
23_o3_orkg_d4_b4,d4_b4,0.72,0.86,0.73,0.87,0.86,0.808,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/23_o3_orkg_d4_b4.md
24_o3_orkg_d1_b1,d1_b1,0.68,0.73,0.73,0.93,0.92,0.798,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/24_o3_orkg_d1_b1.md
24_o3_orkg_d1_b4,d1_b4,0.84,0.86,0.64,0.88,0.92,0.828,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/24_o3_orkg_d1_b4.md
24_o3_orkg_d4_b1,d4_b1,0.78,0.82,0.72,0.88,0.65,0.77,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/24_o3_orkg_d4_b1.md
24_o3_orkg_d4_b4,d4_b4,0.72,0.86,0.72,0.92,0.92,0.828,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/24_o3_orkg_d4_b4.md
25_o3_orkg_d1_b1,d1_b1,0.73,0.78,0.69,0.87,0.82,0.778,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/25_o3_orkg_d1_b1.md
25_o3_orkg_d1_b4,d1_b4,0.93,0.72,0.67,0.92,0.92,0.832,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/25_o3_orkg_d1_b4.md
25_o3_orkg_d4_b1,d4_b1,0.77,0.86,0.57,0.79,0.73,0.744,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/25_o3_orkg_d4_b1.md
25_o3_orkg_d4_b4,d4_b4,0.89,0.83,0.83,0.92,0.93,0.88,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/25_o3_orkg_d4_b4.md
26_o3_orkg_d1_b1,d1_b1,0.82,0.87,0.57,0.76,0.83,0.77,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/26_o3_orkg_d1_b1.md
26_o3_orkg_d1_b4,d1_b4,0.66,0.88,0.62,0.93,0.87,0.792,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/26_o3_orkg_d1_b4.md
26_o3_orkg_d4_b1,d4_b1,0.71,0.83,0.68,0.87,0.92,0.802,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/26_o3_orkg_d4_b1.md
26_o3_orkg_d4_b4,d4_b4,0.59,0.87,0.68,0.92,0.94,0.8,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/26_o3_orkg_d4_b4.md
27_o3_orkg_d1_b1,d1_b1,0.78,0.88,0.82,0.87,0.92,0.854,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/27_o3_orkg_d1_b1.md
27_o3_orkg_d1_b4,d1_b4,0.73,0.86,0.67,0.92,0.92,0.82,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/27_o3_orkg_d1_b4.md
27_o3_orkg_d4_b1,d4_b1,0.92,0.87,0.86,0.87,0.94,0.892,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/27_o3_orkg_d4_b1.md
27_o3_orkg_d4_b4,d4_b4,0.92,0.85,0.77,0.92,0.92,0.876,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/27_o3_orkg_d4_b4.md
28_o3_orkg_d1_b1,d1_b1,0.73,0.93,0.88,0.92,0.92,0.876,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/28_o3_orkg_d1_b1.md
28_o3_orkg_d1_b4,d1_b4,0.72,0.83,0.7,0.92,0.94,0.822,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/28_o3_orkg_d1_b4.md
28_o3_orkg_d4_b1,d4_b1,0.73,0.94,0.67,0.82,0.95,0.822,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/28_o3_orkg_d4_b1.md
28_o3_orkg_d4_b4,d4_b4,0.78,0.87,0.64,0.92,0.93,0.828,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/28_o3_orkg_d4_b4.md
29_o3_orkg_d1_b1,d1_b1,0.73,0.83,0.72,0.78,0.94,0.8,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/29_o3_orkg_d1_b1.md
29_o3_orkg_d1_b4,d1_b4,0.68,0.88,0.62,0.88,0.84,0.78,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/29_o3_orkg_d1_b4.md
29_o3_orkg_d4_b1,d4_b1,0.65,0.87,0.63,0.92,0.93,0.8,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/29_o3_orkg_d4_b1.md
29_o3_orkg_d4_b4,d4_b4,0.77,0.83,0.77,0.92,0.93,0.844,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/29_o3_orkg_d4_b4.md
2_o3_orkg_d1_b1,d1_b1,0.72,0.87,0.68,0.88,0.88,0.806,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/2_o3_orkg_d1_b1.md
2_o3_orkg_d1_b4,d1_b4,0.83,0.87,0.62,0.92,0.87,0.822,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/2_o3_orkg_d1_b4.md
2_o3_orkg_d4_b1,d4_b1,0.72,0.84,0.62,0.71,0.76,0.73,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/2_o3_orkg_d4_b1.md
2_o3_orkg_d4_b4,d4_b4,0.83,0.94,0.83,0.95,0.92,0.894,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/2_o3_orkg_d4_b4.md
30_o3_orkg_d1_b1,d1_b1,0.88,0.87,0.64,0.83,0.93,0.83,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/30_o3_orkg_d1_b1.md
30_o3_orkg_d1_b4,d1_b4,0.63,0.83,0.57,0.72,0.93,0.736,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/30_o3_orkg_d1_b4.md
30_o3_orkg_d4_b1,d4_b1,0.67,0.83,0.72,0.92,0.87,0.802,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/30_o3_orkg_d4_b1.md
30_o3_orkg_d4_b4,d4_b4,0.71,0.87,0.66,0.93,0.73,0.78,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/30_o3_orkg_d4_b4.md
31_o3_orkg_d1_b1,d1_b1,0.72,0.87,0.73,0.87,0.92,0.822,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/31_o3_orkg_d1_b1.md
31_o3_orkg_d1_b4,d1_b4,0.82,0.94,0.78,0.94,0.94,0.884,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/31_o3_orkg_d1_b4.md
31_o3_orkg_d4_b1,d4_b1,0.87,0.83,0.72,0.82,0.87,0.822,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/31_o3_orkg_d4_b1.md
31_o3_orkg_d4_b4,d4_b4,0.78,0.85,0.68,0.78,0.94,0.806,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/31_o3_orkg_d4_b4.md
32_o3_orkg_d1_b1,d1_b1,0.91,0.83,0.63,0.92,0.83,0.824,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/32_o3_orkg_d1_b1.md
32_o3_orkg_d1_b4,d1_b4,0.77,0.82,0.76,0.92,0.92,0.838,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/32_o3_orkg_d1_b4.md
32_o3_orkg_d4_b1,d4_b1,0.92,0.86,0.68,0.93,0.88,0.854,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/32_o3_orkg_d4_b1.md
32_o3_orkg_d4_b4,d4_b4,0.78,0.86,0.72,0.92,0.72,0.8,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/32_o3_orkg_d4_b4.md
33_o3_orkg_d1_b1,d1_b1,0.82,0.83,0.63,0.93,0.93,0.828,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/33_o3_orkg_d1_b1.md
33_o3_orkg_d1_b4,d1_b4,0.76,0.82,0.66,0.92,0.73,0.778,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/33_o3_orkg_d1_b4.md
33_o3_orkg_d4_b1,d4_b1,0.78,0.78,0.81,0.93,0.94,0.848,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/33_o3_orkg_d4_b1.md
33_o3_orkg_d4_b4,d4_b4,0.66,0.86,0.56,0.92,0.92,0.784,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/33_o3_orkg_d4_b4.md
34_o3_orkg_d1_b1,d1_b1,0.63,0.94,0.77,0.92,0.95,0.842,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/34_o3_orkg_d1_b1.md
34_o3_orkg_d1_b4,d1_b4,0.88,0.84,0.74,0.93,0.94,0.866,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/34_o3_orkg_d1_b4.md
34_o3_orkg_d4_b1,d4_b1,0.64,0.94,0.68,0.84,0.94,0.808,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/34_o3_orkg_d4_b1.md
34_o3_orkg_d4_b4,d4_b4,0.91,0.93,0.83,0.88,0.93,0.896,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/34_o3_orkg_d4_b4.md
35_o3_orkg_d1_b1,d1_b1,0.94,0.86,0.67,0.91,0.92,0.86,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/35_o3_orkg_d1_b1.md
35_o3_orkg_d1_b4,d1_b4,0.67,0.83,0.82,0.83,0.92,0.814,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/35_o3_orkg_d1_b4.md
35_o3_orkg_d4_b1,d4_b1,0.92,0.76,0.62,0.78,0.87,0.79,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/35_o3_orkg_d4_b1.md
35_o3_orkg_d4_b4,d4_b4,0.72,0.87,0.68,0.92,0.94,0.826,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/35_o3_orkg_d4_b4.md
36_o3_orkg_d1_b1,d1_b1,0.78,0.92,0.68,0.88,0.9,0.832,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/36_o3_orkg_d1_b1.md
36_o3_orkg_d1_b4,d1_b4,0.64,0.85,0.67,0.92,0.92,0.8,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/36_o3_orkg_d1_b4.md
36_o3_orkg_d4_b1,d4_b1,0.73,0.73,0.63,0.78,0.92,0.758,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/36_o3_orkg_d4_b1.md
36_o3_orkg_d4_b4,d4_b4,0.72,0.87,0.57,0.94,0.94,0.808,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/36_o3_orkg_d4_b4.md
37_o3_orkg_d1_b1,d1_b1,0.86,0.92,0.68,0.78,0.87,0.822,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/37_o3_orkg_d1_b1.md
37_o3_orkg_d1_b4,d1_b4,0.63,0.82,0.68,0.94,0.96,0.806,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/37_o3_orkg_d1_b4.md
37_o3_orkg_d4_b1,d4_b1,0.78,0.83,0.68,0.91,0.93,0.826,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/37_o3_orkg_d4_b1.md
37_o3_orkg_d4_b4,d4_b4,0.72,0.82,0.63,0.78,0.86,0.762,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/37_o3_orkg_d4_b4.md
38_o3_orkg_d1_b1,d1_b1,0.62,0.92,0.86,0.92,0.93,0.85,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/38_o3_orkg_d1_b1.md
38_o3_orkg_d1_b4,d1_b4,0.6,0.87,0.72,0.88,0.93,0.8,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/38_o3_orkg_d1_b4.md
38_o3_orkg_d4_b1,d4_b1,0.68,0.86,0.78,0.82,0.94,0.816,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/38_o3_orkg_d4_b1.md
38_o3_orkg_d4_b4,d4_b4,0.82,0.92,0.68,0.93,0.92,0.854,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/38_o3_orkg_d4_b4.md
39_o3_orkg_d1_b1,d1_b1,0.84,0.82,0.67,0.93,0.82,0.816,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/39_o3_orkg_d1_b1.md
39_o3_orkg_d1_b4,d1_b4,0.72,0.87,0.61,0.86,0.93,0.798,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/39_o3_orkg_d1_b4.md
39_o3_orkg_d4_b1,d4_b1,0.77,0.85,0.58,0.88,0.88,0.792,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/39_o3_orkg_d4_b1.md
39_o3_orkg_d4_b4,d4_b4,0.74,0.74,0.62,0.86,0.83,0.758,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/39_o3_orkg_d4_b4.md
3_o3_orkg_d1_b1,d1_b1,0.64,0.84,0.68,0.87,0.93,0.792,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/3_o3_orkg_d1_b1.md
3_o3_orkg_d1_b4,d1_b4,0.72,0.82,0.68,0.87,0.82,0.782,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/3_o3_orkg_d1_b4.md
3_o3_orkg_d4_b1,d4_b1,0.68,0.87,0.72,0.83,0.94,0.808,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/3_o3_orkg_d4_b1.md
3_o3_orkg_d4_b4,d4_b4,0.78,0.93,0.62,0.92,0.92,0.834,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/3_o3_orkg_d4_b4.md
40_o3_orkg_d1_b1,d1_b1,0.87,0.92,0.77,0.93,0.88,0.874,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/40_o3_orkg_d1_b1.md
40_o3_orkg_d1_b4,d1_b4,0.86,0.84,0.68,0.86,0.92,0.832,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/40_o3_orkg_d1_b4.md
40_o3_orkg_d4_b1,d4_b1,0.78,0.89,0.67,0.76,0.88,0.796,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/40_o3_orkg_d4_b1.md
40_o3_orkg_d4_b4,d4_b4,0.92,0.87,0.86,0.93,0.92,0.9,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/40_o3_orkg_d4_b4.md
41_o3_orkg_d1_b1,d1_b1,0.92,0.87,0.62,0.78,0.94,0.826,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/41_o3_orkg_d1_b1.md
41_o3_orkg_d1_b4,d1_b4,0.83,0.82,0.74,0.92,0.88,0.838,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/41_o3_orkg_d1_b4.md
41_o3_orkg_d4_b1,d4_b1,0.78,0.86,0.63,0.82,0.92,0.802,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/41_o3_orkg_d4_b1.md
41_o3_orkg_d4_b4,d4_b4,0.82,0.86,0.62,0.83,0.93,0.812,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/41_o3_orkg_d4_b4.md
42_o3_orkg_d1_b1,d1_b1,0.62,0.88,0.93,0.92,0.92,0.854,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/42_o3_orkg_d1_b1.md
42_o3_orkg_d1_b4,d1_b4,0.78,0.86,0.62,0.92,0.67,0.77,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/42_o3_orkg_d1_b4.md
42_o3_orkg_d4_b1,d4_b1,0.94,0.82,0.72,0.92,0.83,0.846,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/42_o3_orkg_d4_b1.md
