title,problem statement
"Algorithm-Supported Programming for Intellectual, Mathematical, and Computational Intensive Code Generation","Large Language Models (LLMs) encounter difficulties when tackling computationally complex programming tasks, particularly those requiring a strong mathematical background and advanced numerical analysis. Experts often need to solve mathematical problems before generating code step-by-step. These types of problems frequently necessitate carefully designed algorithms to achieve optimal performance and efficiency. LLMs struggle to recognize when established mathematical theories should be applied in specific cases."
Improving Code Models through Multi-Agent Debate,"Current code generation models enhance programming productivity but face challenges when integrated directly into projects. Primary issues include: (1) the inability of API-based models to consider the user's machine architecture and environment, leading to errors requiring manual debugging, (2) difficulty in meeting performance requirements such as runtime and memory constraints in a single generation, and (3) generic programming bugs."
Multilingual Prompting with Transliterated Inputs Improves Tokenization Rates and Few-shot Performance,"Current large language models (LLMs) and their tokenizers are predominantly trained on English language data, resulting in poor tokenization rates for low-resource languages, particularly those with non-Latin scripts and rich morphology."
Resolving Ambiguous Translations via Language Model Prompting,"Ambiguity often arises during translation, where one word in the source language may be mapped to several words in the target language, and contextual information or precise linguistic knowledge is required to choose the correct target word for translation. For example, ""wall"" in English may be translated to ""pared"" or ""muro"" in Spanish depending on whether the wall is indoors or outdoors."
Hierarchical Multi-Perspective Prompting Improves Factuality in Large Language Models in Specialized Domains,"Large language models (LLMs) often generate plausible but factually incorrect information, undermining their reliability and usefulness in real-world applications, especially in specialized domains such as biomedicine and history, where accuracy is crucial."
Automatic Jailbreak Prompt Generation for Large Language Models,"Jailbreak prompts can elicit harmful content from Large Language Models (LLMs). However, generating such prompts currently requires manual effort, which limits the scale of safety testing that can be performed before model deployment."
LLM Directed Retrieval Querying for Improving Factuality,"Large language models can generate flexible, long-form language generations, but LLM-generated responses often contain hallucinated or factually inconsistent content. Particularly in high-risk settings, there is a need for methods to improve the factuality of LLMs."
Fishing in an LLM: Theoretically Quantifying Uncertainty with Fisher Information in Large Language Models,"Quantifying uncertainty in large language models frequently relies on heuristics and complex modifications to the training pipeline, which is important for detecting hallucinations in models. Is there a simpler and well-motivated way to achieve this?"
Prompt Evolution for Reducing Negation-Related Errors in Large Language Models,"Large language models struggle with understanding and correctly implementing negation in instructions, particularly in ""do not"" type sentences. This issue affects both general-purpose and specialized language models, and the process of understanding negation in such models is not well understood. The problem is exacerbated when dealing with complex queries that involve multiple negations or when the negation interacts with other linguistic phenomena such as quantifiers, conditionals, or temporal expressions."
Dialect-Aware Machine Translation with Prompted Lexicon Entries as Examples,"Machine translation systems often default to translating into the dominant dialect of a language, neglecting the nuances of regional variants. This approach negatively impacts user experience and potentially marginalizes minority dialects."
ManyChecks: Verifying Math Reasoning from Many Perspectives,Large Language Models (LLMs) often make mistakes when solving mathematical problems on their first attempt. Implementing additional LLM calls to verify and refine their reasoning chains presents a promising strategy to rectify errors and improve the final correctness of LLM's mathematical problem-solving capabilities.
Tree-of-Thought Prompting for Challenging Mathematical Proofs,"While Large Language Models (LLMs) have shown promise in complex mathematical proof automation and discoveries, this field remains under-explored."
FairPrompt: Enhancing Fairness in Multilingual Language Models through Culturally-Aware Prompting Techniques,"Multilingual language models (MLLMs) often exhibit biases and unfair treatment towards languages with fewer resources, resulting in poorer performance and misrepresentation for speakers of these languages. Most fairness evaluations and mitigations focus on high-resource languages like English, overlooking the needs of others. This research aims to develop new prompting techniques that improve the fairness of MLLMs across diverse languages, ensuring equitable performance and representation."
Self-improving Memory Ignites Mathematical Reasoning for Large Language Models,"Mathematical reasoning in large language models (LLMs) requires sophisticated problem decomposition, logical reasoning, and precise calculation. Current approaches often struggle with adaptability and scalability when encountering new problems."
Identifying Optimal Languages for Improving Zero-Shot Low-Resource XNLI Performance,"Performing logical reasoning in low-resource languages is still less accurate than in English, the native language of Large Language Models (LLMs)."
Overcoming Narrow Context Window of LLMs in Requirements Analysis of an Industrial SRS Document,"Large Language Models (LLMs) generate numerous false positives when detecting ambiguities, inconsistencies, and incompleteness issues in Software Requirements Specification (SRS) documents, primarily due to the limited context window in which the LLM focuses."
Enhancing AI Model Reliability by Learning to Express Uncertainty,"Users struggle to reliably utilize AI models, even those capable of producing calibrated confidence estimates, as they lack clarity on when to appropriately accept or rely on AI assistance."
Context-Aware Code Generation: Enhancing Contextual Understanding in Large Language Models for Improved Code Generation,"Current large language models (LLMs) often produce code that lacks context awareness, leading to issues such as incorrect assumptions about variable states, inappropriate use of libraries, and non-optimized logic flows. Enhancing the contextual understanding of code during generation can significantly improve the quality and accuracy of generated code."
Stepwise Uncertainty Estimation in Chain-of-thought,"Large Language Models (LLMs) after Reinforcement Learning from Human Feedback (RLHF) are shown to be poorly calibrated, meaning their output probabilities do not accurately reflect answer uncertainty. This necessitates the development of alternative methods for uncertainty estimation."
Modular Calibration for Long-form Answers,"Calibrating the confidence of Large Language Models (LLMs) when generating long-form answers, such as essays and code, remains an open challenge in the field of natural language processing."
Negative Questioning for Alignment Models to Reduce Hallucinations,"Large language models (LLMs) frequently produce hallucinated responses, and self-verification is challenging due to their tendency to either overconfidently assert or uncritically conform to user inputs. Simple self-validation does not ensure the absence of hallucinations."
Verifying and Improving the Factuality in LMs via Grounded Court Debate,"Language models (LMs) often generate plausible yet incorrect factual information, a phenomenon known as hallucination. A mechanism for verifying and improving the factuality of LM-generated content is critical for building human trust in LMs."
Ensemble of LLMs Attack Safety Classifiers,"Generation of new, diverse, and natural comments that can fool safety classifiers is crucial for future-proofing such classifiers."
Abstaining With Multilingual Knowledge,"Abstaining whenever a language model (LM) is uncertain about its response, in order to reduce hallucinations, is an unsolved problem in Natural Language Processing (NLP)."
