,Your research question.,Which fine-grained sub-domain or sub-discipline in Ecology would you say is the context to your research question?,What is the purpose of your question?,Do you think this question is answerable from publications alone?,"If not, which other data sources would you consider?",Does the synthesis paragraph make sense for its content? ,Is the synthesis paragraph helpful to you? ,Are the list of top 10 papers returned relevant to your research question?,"List between 1 to 10 publication(s) that you think best addresses your question and which did not show up in the ASK results. Feel free to use the Google Scholar or Web Science search engines. Please add the publication DOIs as far as possible. (If you do not have papers to add, please write simply N/A.)","Given that you may have thought about this question before, if possible, what would be the summary answer you expect to your question? Your answer can include a maximum of 4 sentences. Feel free to skip this question if it is too tedious. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Does mycorrhizal inoculation increases plant biomass? ,"plant ecology, mycorrhizal ecology, plant-soil interactions ",Collecting evidence for/against a hypothesis,Yes,,1,1,1,Hoeksema ET AL. 2010 Ecology Letters,"Same, more or less thank the abstract. 3/5 sentence origin from my own meta-analysis...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,How does buckthorn invasion impact biodiversity?,Restoration ecology - invasive species management,Idea generation,Yes,,2,3,1,N/A,"Buckthorn forms a dense canopy that leafs out before native plants, outcompeting them for light. Buckthorn also inhibits seed germination through an allelopathic mechanism. The berries from buckthorn can be harmful to birds and other animals who eat them.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,What are the key mechanisms in invasion ecology?,Invasion ecology,Explore the range of existing hypotheses in the literature on a given question,Maybe,Textbooks,4,5,4,"Unknown, not an invasion ecologist. Several papers returned looked perfect, but others were too fine-grained, and some things seemed to be about cancer, not ecology.","The kind of things in Tina Heger's book, on high-level mechanisms of invasion, like enemy release hypothesis, propagule pressure, etc ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,How to identify critical habitat for peary caribou ? ,Ecological behavior,Idea generation,No,"Grey literature, government report ",2,3,3,"Knowledge assessment (community and scientific) to inform the identification of critical habitat for Peary caribou, Rangifer tarandus pearyi, in the Canadian Arctic  ( https://publications.gc.ca/site/eng/9.838094/publication.html )

Remote sensing, snow modelling, survey data and Indigenous Knowledge show how snow and sea-ice conditions affect Peary caribou (Rangifer tarandus pearyi) distribution and inter-island and island?mainland movements (https://polarresearch.net/index.php/polar/article/view/7964)

Equal use of Indigenous and scientific knowledge in species assessments: A case study from the Northwest Territories, Canada (https://www.sciencedirect.com/science/article/pii/S0006320723000952)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,What is the role of environmental heterogeneity for the biodiversity ecosystem function relationship?,Community ecology; Macroecology,Idea generation,Yes,,1,2,1,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,How do invasive plant and animal species disrupt pollination networks and affect native pollinator communities in tropical mountains?,community ecology/ mountain ecology/ tropical ecology,Idea generation,No,"more observations in field or lab, more experiments, more modelling",3,4,3,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,What is the effect of climate change on bees overwintering period?,Ecology,Explore the range of existing hypotheses in the literature on a given question,Yes,,1,1,1,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Can herbaria specimens be used to study effects of climate change?,Global change ecology,Explore the range of existing hypotheses in the literature on a given question,Yes,,2,2,2,"https://peerj.com/articles/4576/
https://academic.oup.com/aob/article/127/7/865/6131369",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"I want to enhance biodiversity on a river bank by sowing native species. Should I sow all species at once, or is it better to sow one after the other according to their germination times?",restoration ecology,practical advice,Maybe,,4,4,4,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,What is known about the effects of green roofs on urban insect biodiversity?,urban ecology,Collecting evidence for/against a hypothesis,Maybe,,1,1,1,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Does grassland management extensification reduce soil microbial diversity? ,"Geassland ecology, microbial ecology, soil ecology",Collecting evidence for/against a hypothesis,Maybe,More experiments,2,2,2,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Does providing snacks increase the chance that a volunteer returns to volunteer again?,restoration ecology - social science,Collecting evidence for/against a hypothesis,Yes,,1,1,1,N/A,The synthesis paragraph is actually quite good!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,How could we improve populations of pollinators,Restoration ecology,Explore the range of existing hypotheses in the literature on a given question,Maybe,Unknown,1,1,1,Unknown (I'm not an ecologist),Answer given was really helpful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,How to monitor and manage snow goose populations while preserving food security for arctic indigenous communities ,Community based monitoring in conservation biology,Idea generation,No,Indigenous lead research report available online ,2,2,3,http://kangut.ca/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,How does the biodiversity ecosystem function relationship depend on the spatial scale?,Community ecology; Macroecology,Idea generation,Yes,,1,1,1,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"What is the role of microbial communities in the formation and stabilization of permafrost, and how does this influence the long-term carbon cycle?",microbial ecology / soil ecology,Idea generation,No,as usual - more experimental/ empirical / theoretical studies,2,3,3,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,What is the relation between biodiversity and health?,"Ecology, Sociology",Idea generation,No,Databases,2,2,2,https://pmc.ncbi.nlm.nih.gov/articles/PMC7087626/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Can herbivory modulate the effects of global change on plant communities?,global change ecology,Explore the range of existing hypotheses in the literature on a given question,Yes,,4,4,4,"https://www.pnas.org/doi/abs/10.1073/pnas.0802421105
https://nph.onlinelibrary.wiley.com/doi/full/10.1111/nph.17036
https://onlinelibrary.wiley.com/doi/full/10.1111/gcb.13397","Biotic interactions like herbivory are suggested to modulate the impact of golbal change on plant communities.Herbivores can mitigate (make impact smaller), amplify (make impact bigger) or have neutral effects on the impact of global change on plant communities.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,How successful is urban green infrastructure in enhancing bird diversity?,urban ecology,Collecting evidence for/against a hypothesis,Maybe,,1,1,1,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,How do soil biota affect insects?,community ecology,Explore the range of existing hypotheses in the literature on a given question,Maybe,,1,1,2,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Does warming in grasslands increase soil microbial activity?,"grassland ecology, soil ecology",Idea generation,Maybe,,1,4,5,N/A,"Well just as a comment, the abstract was Made of only the top two papers and thise were doubled. So ist sourced only one study in fact from one study site. So it's not general...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Is citizen science data as reliable as professionally collected data?,Restoration ecology - conservation biology,Collecting evidence for/against a hypothesis,Yes,,1,1,1,N/A,The synthesis paragraph is quite good!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,What are the key challenges for biodiversity currently?,"Unsure, just ecology",Idea generation,Maybe,Unknown,1,1,3,"Unknown. Papers were relevant but maybe too specific. But also offered a bit of an overview, so not unhelpful.",I'm no expert but did expect to see more about climate change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,How new technologies can improve  knowledge weaving processes in wildlife management ? ,Ecological restoration ,Idea generation,No,Grey literature and organisation reports ,3,3,3,"https://siku.org/project-management

Hill, R., Harkness, P., Raisbeck-Brown, N. et al. Learning Together for and with the Martuwarra Fitzroy River. Sustain Sci 17, 351?375 (2022). https://doi.org/10.1007/s11625-021-00988-x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Which mechanisms drive the biodiversity ecosystem function relationship in ecosystems other than grasslands?,Community ecology,Explore the range of existing hypotheses in the literature on a given question,Yes,,2,3,3,Cardinale et al. (2011) The functional role of producer diversity in ecosystems. https://doi.org/10.3732/ajb.1000364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"How do the unique pressure and temperature conditions of the deep sea influence the uptake, distribution, and effects of radionuclides in marine organisms?",marine ecology / radiation ecology,Idea generation,Maybe,additional studies,4,4,4,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,What are the best practices in bee pollinator conservation?,Pollination ecology,Collecting evidence for/against a hypothesis,Yes,,1,1,1,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,What is the most important global change driver for plant communities?,global change ecology,Explore the range of existing hypotheses in the literature on a given question,Yes,,3,3,3,https://www.pnas.org/doi/abs/10.1073/pnas.1519911113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Is enemy release a good explanation for invasion success?,invasion biology,Collecting evidence for/against a hypothesis,Maybe,,1,1,3,"10.1111/j.1600-0706-2013.01263.x, 10.3897/rio.10.e107393 (instead of the preprint)",N/A [The summary is actually quite good already],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,What is known about the effects of soil biota on plant diversity in calcareous soils in Central Europe?,vegetation ecology,Explore the range of existing hypotheses in the literature on a given question,Maybe,,2,3,2,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,What is the most common effect of fertilization on grassland plant diversity?,"grassland ecology, biodiversity research",Collecting evidence for/against a hypothesis,Yes,,1,2,2,Le Provost ET AL. 2021,,PhD,senior researcher or group leader,less than equal to 10 years,"restoration ecology, plant-soil interactions, mycorrhizal ecology, grassland ecology ","biodiversity, functioning","google scholar, web of science",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Do restoration projects have better outcomes with more engaged people?,Restoration ecology - social science,Idea generation,Yes,,2,3,1,"https://www.pnas.org/doi/abs/10.1073/pnas.1525002113
https://sciences.ucf.edu/biology/abl/wp-content/uploads/sites/16/2018/12/Kibler-et-al.-2018.pdf","The synthesis paragraph is quite good, though a bit superficial!",PhD,postdoctoral researcher,less than equal to 10 years,restoration ecology,public engagement in restoration and conservation; invasive species management,Scopus; Google Scholar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,What is climate change doing to bees?,Unknown,Explore the range of existing hypotheses in the literature on a given question,Yes,,1,1,1,Unknown. Not an ecologist.,"I thought the summary was good, I have no expert knowledge",PhD,professor,more than 10 years,Philosopher of Science,Looking at knowledge and evidence in ecology,My library tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Which factors determine the success of reintroducing lynx to the Austrian northern limestone alps?,Restoration ecology; Conservation biology,Collecting evidence for/against a hypothesis,Maybe,"Unpublished government reports or environmental assessments by authorities. Qualitative knowledge from practitioners, wildlife experts, National park rangers, or NGOs.",1,2,3,"Conc et al. (2024) Integrating geodiversity in animal spatial ecology: microhabitat selection of Eurasian lynx (Lynx lynx) and European wildcat (Felis silvestris) in a karst landscape. https://doi.org/10.1016/j.gecco.2024.e03138

Behnke, Robert, and Chris Walzer. ""Health, Husbandry and Management of Eurasian lynx (Lynx lynx)."" https://www.researchgate.net/profile/Rob-Behnke/publication/340232673_Health_Husbandry_and_Management_of_Eurasian_lynx_Lynx_lynx_-_Vet_Handbook_and_Husbandry_Guidelines/links/65b23eb49ce29c458bae4593/Health-Husbandry-and-Management-of-Eurasian-lynx-Lynx-lynx-Vet-Handbook-and-Husbandry-Guidelines.pdf",,PhD,doctoral researcher,less than equal to 5 years,Community ecology,Scale- and context dependence of ecological relationships; biodiversity ecosystem function relationships on different spatial scales; definitions of multidimensional ecological concepts,google scholar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Through what mechanisms can fish become invasive in mountain lakes?,mountain ecology/ invasion ecology / aquatic ecology etc.,Idea generation,Maybe,more studies,4,4,4,N/A,,PhD,senior researcher or group leader,more than 10 years,invasion ecology / evolutionary ecology / biodiversity data,"biological invasions, pollination. mountain ecology, ecological modelling, bioacoustics","Scholia, OpenAlex, Google Scholar, PubMed Central, arXive, ?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Will the AMOC change its course?,Geology,Idea generation,No,"Databases, predictions",1,1,1,N/A,,PhD,postdoctoral researcher,more than 10 years,Pollination ecology,"Biodiversity, land use change, climate change, entomology, human health","Google scholar, web of science",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,what are the methodological challenges to measure seedling functional traits?,plant ecology,Explore the range of existing hypotheses in the literature on a given question,Yes,,3,3,3,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/2041-210X.14288,,PhD,postdoctoral researcher,more than 10 years,"plant ecology, global change ecology","Climate change impact on plant communities
Interactions among different global change drivers
Indirect effects of global change","Google scholar
Web of Science",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"When could mowing be more efficient than grazing in restoring plant diversity, and why?",restoration ecology,Collecting evidence for/against a hypothesis,Maybe,,2,2,1,n/a,[The 'why' part was not answered],Habilitation,senior researcher or group leader,more than 10 years,"invasion biology, restoration ecology","conceptual questions, ecological theory","Web of Science, google scholar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,What is known about the causes of insect decline in Europe?,Conservation biology,Overview on the state of knowledge on a topic,Yes,,1,1,1,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
