report_stem,config,depth,breadth,rigor,innovation,gap,overall,report_path
18_o3_orkg_d4_b1,d4_b1,0.6,0.88,0.82,0.95,0.93,0.836,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/18_o3_orkg_d4_b1.md
18_o3_orkg_d4_b4,d4_b4,0.4,0.57,0.45,0.95,0.6,0.594,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/18_o3_orkg_d4_b4.md
19_o3_orkg_d1_b1,d1_b1,0.2,0.8,0.9,0.88,0.82,0.72,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/19_o3_orkg_d1_b1.md
19_o3_orkg_d1_b4,d1_b4,0.55,0.78,0.75,0.87,0.53,0.696,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/19_o3_orkg_d1_b4.md
19_o3_orkg_d4_b1,d4_b1,0.3,0.95,0.95,0.93,0.8,0.786,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/19_o3_orkg_d4_b1.md
19_o3_orkg_d4_b4,d4_b4,0.2,0.92,0.78,0.95,0.92,0.754,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/19_o3_orkg_d4_b4.md
1_o3_orkg_d1_b1,d1_b1,0.55,0.65,0.93,0.92,0.68,0.746,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/1_o3_orkg_d1_b1.md
1_o3_orkg_d1_b4,d1_b4,0.78,0.67,0.7,0.95,0.8,0.78,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/1_o3_orkg_d1_b4.md
1_o3_orkg_d4_b1,d4_b1,0.4,0.92,0.92,0.93,0.78,0.79,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/1_o3_orkg_d4_b1.md
1_o3_orkg_d4_b4,d4_b4,0.55,0.94,0.95,0.95,0.85,0.848,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/1_o3_orkg_d4_b4.md
20_o3_orkg_d1_b1,d1_b1,0.15,0.95,0.6,0.93,0.42,0.61,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/20_o3_orkg_d1_b1.md
20_o3_orkg_d1_b4,d1_b4,0.08,0.94,0.92,0.93,0.94,0.762,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/20_o3_orkg_d1_b4.md
20_o3_orkg_d4_b1,d4_b1,0.05,0.93,0.88,0.92,0.92,0.74,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/20_o3_orkg_d4_b1.md
20_o3_orkg_d4_b4,d4_b4,0.45,0.95,0.87,0.93,0.67,0.774,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/20_o3_orkg_d4_b4.md
21_o3_orkg_d1_b1,d1_b1,0.45,0.65,0.6,0.95,0.65,0.66,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/21_o3_orkg_d1_b1.md
21_o3_orkg_d1_b4,d1_b4,0.6,0.93,0.83,0.95,0.87,0.836,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/21_o3_orkg_d1_b4.md
21_o3_orkg_d4_b1,d4_b1,0.2,0.95,0.8,0.92,0.93,0.76,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/21_o3_orkg_d4_b1.md
21_o3_orkg_d4_b4,d4_b4,0.45,0.94,0.88,0.93,0.5,0.74,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/21_o3_orkg_d4_b4.md
22_o3_orkg_d1_b1,d1_b1,0.45,0.94,0.65,0.92,0.65,0.722,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/22_o3_orkg_d1_b1.md
22_o3_orkg_d1_b4,d1_b4,0.3,0.85,0.75,0.93,0.87,0.74,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/22_o3_orkg_d1_b4.md
22_o3_orkg_d4_b1,d4_b1,0.45,0.66,0.83,0.95,0.9,0.758,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/22_o3_orkg_d4_b1.md
22_o3_orkg_d4_b4,d4_b4,0.2,0.95,0.65,0.95,0.45,0.64,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/22_o3_orkg_d4_b4.md
23_o3_orkg_d1_b1,d1_b1,0.07,0.6,0.85,0.93,0.45,0.58,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/23_o3_orkg_d1_b1.md
23_o3_orkg_d1_b4,d1_b4,0.6,0.92,0.92,0.93,0.78,0.83,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/23_o3_orkg_d1_b4.md
23_o3_orkg_d4_b1,d4_b1,0.4,0.45,0.82,0.95,0.62,0.648,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/23_o3_orkg_d4_b1.md
23_o3_orkg_d4_b4,d4_b4,0.65,0.88,0.95,0.93,0.9,0.862,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/23_o3_orkg_d4_b4.md
24_o3_orkg_d1_b1,d1_b1,0.5,0.2,0.92,0.95,0.65,0.644,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/24_o3_orkg_d1_b1.md
24_o3_orkg_d1_b4,d1_b4,0.58,0.25,0.92,0.93,0.75,0.686,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/24_o3_orkg_d1_b4.md
24_o3_orkg_d4_b1,d4_b1,0.7,0.55,0.93,0.93,0.65,0.752,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/24_o3_orkg_d4_b1.md
24_o3_orkg_d4_b4,d4_b4,0.15,0.92,0.95,0.93,0.73,0.736,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/24_o3_orkg_d4_b4.md
25_o3_orkg_d1_b1,d1_b1,0.3,0.63,0.87,0.93,0.92,0.73,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/25_o3_orkg_d1_b1.md
25_o3_orkg_d1_b4,d1_b4,0.75,0.25,0.85,0.93,0.92,0.74,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/25_o3_orkg_d1_b4.md
25_o3_orkg_d4_b1,d4_b1,0.65,0.6,0.7,0.93,0.45,0.666,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/25_o3_orkg_d4_b1.md
25_o3_orkg_d4_b4,d4_b4,0.3,0.45,0.95,0.95,0.45,0.62,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/25_o3_orkg_d4_b4.md
26_o3_orkg_d1_b1,d1_b1,0.45,0.93,0.45,0.92,0.87,0.724,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/26_o3_orkg_d1_b1.md
26_o3_orkg_d1_b4,d1_b4,0.05,0.0,0.5,0.93,0.7,0.436,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/26_o3_orkg_d1_b4.md
26_o3_orkg_d4_b1,d4_b1,0.15,0.94,0.82,0.92,0.8,0.726,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/26_o3_orkg_d4_b1.md
26_o3_orkg_d4_b4,d4_b4,0.05,0.93,0.82,0.95,0.93,0.736,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/26_o3_orkg_d4_b4.md
27_o3_orkg_d1_b1,d1_b1,0.45,0.92,0.92,0.95,0.92,0.832,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/27_o3_orkg_d1_b1.md
27_o3_orkg_d1_b4,d1_b4,0.55,0.62,0.7,0.93,0.93,0.746,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/27_o3_orkg_d1_b4.md
27_o3_orkg_d4_b1,d4_b1,0.6,0.95,0.95,0.93,0.88,0.862,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/27_o3_orkg_d4_b1.md
27_o3_orkg_d4_b4,d4_b4,0.35,0.94,0.92,0.93,0.92,0.812,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/27_o3_orkg_d4_b4.md
28_o3_orkg_d1_b1,d1_b1,0.55,0.95,0.95,0.92,0.92,0.858,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/28_o3_orkg_d1_b1.md
28_o3_orkg_d1_b4,d1_b4,0.3,0.92,0.92,0.92,0.85,0.782,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/28_o3_orkg_d1_b4.md
28_o3_orkg_d4_b1,d4_b1,0.25,0.95,0.53,0.88,0.92,0.706,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/28_o3_orkg_d4_b1.md
28_o3_orkg_d4_b4,d4_b4,0.47,0.95,0.92,0.93,0.93,0.84,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/28_o3_orkg_d4_b4.md
29_o3_orkg_d1_b1,d1_b1,0.6,0.93,0.75,0.93,0.73,0.788,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/29_o3_orkg_d1_b1.md
29_o3_orkg_d1_b4,d1_b4,0.45,0.95,0.8,0.95,0.88,0.806,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/29_o3_orkg_d1_b4.md
29_o3_orkg_d4_b1,d4_b1,0.05,0.88,0.6,0.94,0.95,0.684,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/29_o3_orkg_d4_b1.md
29_o3_orkg_d4_b4,d4_b4,0.55,0.95,0.92,0.95,0.78,0.83,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/29_o3_orkg_d4_b4.md
2_o3_orkg_d1_b1,d1_b1,0.3,0.92,0.75,0.93,0.55,0.69,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/2_o3_orkg_d1_b1.md
2_o3_orkg_d1_b4,d1_b4,0.55,0.95,0.83,0.93,0.7,0.792,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/2_o3_orkg_d1_b4.md
2_o3_orkg_d4_b1,d4_b1,0.35,0.92,0.47,0.94,0.85,0.706,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/2_o3_orkg_d4_b1.md
2_o3_orkg_d4_b4,d4_b4,0.08,0.94,0.88,0.95,0.65,0.7,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/2_o3_orkg_d4_b4.md
30_o3_orkg_d1_b1,d1_b1,0.47,0.6,0.92,0.93,0.78,0.74,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/30_o3_orkg_d1_b1.md
30_o3_orkg_d1_b4,d1_b4,0.4,0.93,0.78,0.92,0.95,0.796,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/30_o3_orkg_d1_b4.md
30_o3_orkg_d4_b1,d4_b1,0.05,0.92,0.6,0.95,0.8,0.664,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/30_o3_orkg_d4_b1.md
30_o3_orkg_d4_b4,d4_b4,0.45,0.95,0.94,0.95,0.4,0.738,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/30_o3_orkg_d4_b4.md
31_o3_orkg_d1_b1,d1_b1,0.7,0.93,0.7,0.87,0.45,0.73,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/31_o3_orkg_d1_b1.md
31_o3_orkg_d1_b4,d1_b4,0.72,0.93,0.93,0.93,0.82,0.866,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/31_o3_orkg_d1_b4.md
31_o3_orkg_d4_b1,d4_b1,0.45,0.95,0.95,0.93,0.94,0.844,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/31_o3_orkg_d4_b1.md
31_o3_orkg_d4_b4,d4_b4,0.25,0.93,0.95,0.92,0.92,0.794,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/31_o3_orkg_d4_b4.md
32_o3_orkg_d1_b1,d1_b1,0.68,0.92,0.88,0.6,0.53,0.722,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/32_o3_orkg_d1_b1.md
32_o3_orkg_d1_b4,d1_b4,0.25,0.72,0.92,0.95,0.95,0.758,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/32_o3_orkg_d1_b4.md
32_o3_orkg_d4_b1,d4_b1,0.55,0.72,0.83,0.95,0.85,0.78,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/32_o3_orkg_d4_b1.md
32_o3_orkg_d4_b4,d4_b4,0.3,0.92,0.85,0.95,0.65,0.734,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/32_o3_orkg_d4_b4.md
33_o3_orkg_d1_b1,d1_b1,0.65,0.92,0.88,0.93,0.92,0.86,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/33_o3_orkg_d1_b1.md
33_o3_orkg_d1_b4,d1_b4,0.2,0.92,0.93,0.92,0.75,0.744,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/33_o3_orkg_d1_b4.md
33_o3_orkg_d4_b1,d4_b1,0.36,0.83,0.95,0.92,0.95,0.802,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/33_o3_orkg_d4_b1.md
33_o3_orkg_d4_b4,d4_b4,0.12,0.93,0.7,0.95,0.93,0.726,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/33_o3_orkg_d4_b4.md
34_o3_orkg_d1_b1,d1_b1,0.2,0.93,0.9,0.92,0.93,0.776,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/34_o3_orkg_d1_b1.md
34_o3_orkg_d1_b4,d1_b4,0.15,0.95,0.93,0.92,0.93,0.776,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/34_o3_orkg_d1_b4.md
34_o3_orkg_d4_b1,d4_b1,0.45,0.93,0.78,0.93,0.92,0.802,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/34_o3_orkg_d4_b1.md
34_o3_orkg_d4_b4,d4_b4,0.4,0.95,0.93,0.92,0.72,0.784,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/34_o3_orkg_d4_b4.md
35_o3_orkg_d1_b1,d1_b1,0.4,0.65,0.82,0.78,0.93,0.716,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/35_o3_orkg_d1_b1.md
35_o3_orkg_d1_b4,d1_b4,0.2,0.82,0.83,0.92,0.92,0.738,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/35_o3_orkg_d1_b4.md
35_o3_orkg_d4_b1,d4_b1,0.55,0.82,0.6,0.92,0.6,0.698,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/35_o3_orkg_d4_b1.md
35_o3_orkg_d4_b4,d4_b4,0.18,0.93,0.6,0.95,0.2,0.572,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/35_o3_orkg_d4_b4.md
36_o3_orkg_d1_b1,d1_b1,0.2,0.95,0.45,0.92,0.92,0.688,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/36_o3_orkg_d1_b1.md
36_o3_orkg_d1_b4,d1_b4,0.05,0.92,0.6,0.95,0.92,0.688,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/36_o3_orkg_d1_b4.md
36_o3_orkg_d4_b1,d4_b1,0.35,0.67,0.87,0.93,0.93,0.75,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/36_o3_orkg_d4_b1.md
36_o3_orkg_d4_b4,d4_b4,0.2,0.93,0.55,0.93,0.93,0.708,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/36_o3_orkg_d4_b4.md
37_o3_orkg_d1_b1,d1_b1,0.8,0.94,0.65,0.92,0.8,0.822,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/37_o3_orkg_d1_b1.md
37_o3_orkg_d1_b4,d1_b4,0.4,0.95,0.75,0.95,0.95,0.8,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/37_o3_orkg_d1_b4.md
37_o3_orkg_d4_b1,d4_b1,0.65,0.95,0.93,0.94,0.65,0.824,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/37_o3_orkg_d4_b1.md
37_o3_orkg_d4_b4,d4_b4,0.6,0.95,0.75,0.95,0.92,0.834,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/37_o3_orkg_d4_b4.md
38_o3_orkg_d1_b1,d1_b1,0.2,0.95,0.95,0.93,0.45,0.696,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/38_o3_orkg_d1_b1.md
38_o3_orkg_d1_b4,d1_b4,0.45,0.95,0.93,0.9,0.93,0.832,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/38_o3_orkg_d1_b4.md
38_o3_orkg_d4_b1,d4_b1,0.42,0.95,0.92,0.92,0.95,0.832,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/38_o3_orkg_d4_b1.md
38_o3_orkg_d4_b4,d4_b4,0.3,0.93,0.78,0.93,0.92,0.772,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/38_o3_orkg_d4_b4.md
39_o3_orkg_d1_b1,d1_b1,0.92,0.58,0.92,0.94,0.91,0.854,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/39_o3_orkg_d1_b1.md
39_o3_orkg_d1_b4,d1_b4,0.55,0.92,0.55,0.95,0.8,0.754,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/39_o3_orkg_d1_b4.md
39_o3_orkg_d4_b1,d4_b1,0.57,0.93,0.7,0.92,0.93,0.81,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/39_o3_orkg_d4_b1.md
39_o3_orkg_d4_b4,d4_b4,0.7,0.67,0.7,0.95,0.78,0.76,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/39_o3_orkg_d4_b4.md
3_o3_orkg_d1_b1,d1_b1,0.25,0.67,0.92,0.95,0.92,0.742,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/3_o3_orkg_d1_b1.md
3_o3_orkg_d1_b4,d1_b4,0.3,0.95,0.55,0.82,0.93,0.71,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/3_o3_orkg_d1_b4.md
3_o3_orkg_d4_b1,d4_b1,0.25,0.72,0.75,0.93,0.93,0.716,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/3_o3_orkg_d4_b1.md
3_o3_orkg_d4_b4,d4_b4,0.3,0.95,0.92,0.95,0.93,0.81,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/3_o3_orkg_d4_b4.md
40_o3_orkg_d1_b1,d1_b1,0.6,0.93,0.93,0.95,0.8,0.842,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/40_o3_orkg_d1_b1.md
40_o3_orkg_d1_b4,d1_b4,0.2,0.93,0.88,0.92,0.83,0.752,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/40_o3_orkg_d1_b4.md
40_o3_orkg_d4_b1,d4_b1,0.6,0.92,0.75,0.93,0.3,0.7,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/40_o3_orkg_d4_b1.md
40_o3_orkg_d4_b4,d4_b4,0.45,0.65,0.94,0.93,0.45,0.684,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/40_o3_orkg_d4_b4.md
41_o3_orkg_d1_b1,d1_b1,0.53,0.95,0.93,0.92,0.95,0.856,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/41_o3_orkg_d1_b1.md
41_o3_orkg_d1_b4,d1_b4,0.45,0.75,0.9,0.95,0.2,0.65,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/41_o3_orkg_d1_b4.md
41_o3_orkg_d4_b1,d4_b1,0.4,0.92,0.65,0.92,0.92,0.762,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/41_o3_orkg_d4_b1.md
41_o3_orkg_d4_b4,d4_b4,0.55,0.83,0.65,0.92,0.65,0.72,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/41_o3_orkg_d4_b4.md
42_o3_orkg_d1_b1,d1_b1,0.55,0.94,0.93,0.65,0.85,0.784,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/42_o3_orkg_d1_b1.md
42_o3_orkg_d1_b4,d1_b4,0.3,0.87,0.92,0.95,0.2,0.648,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/42_o3_orkg_d1_b4.md
42_o3_orkg_d4_b1,d4_b1,0.55,0.55,0.92,0.92,0.83,0.754,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3/42_o3_orkg_d4_b1.md
